dataset,target_size,fold,algorithm,repeat,time,metric1,metric2,selected_features
lucas_min,5,0,fsdrl,0,16.23,0.47,0.14,422-1637-2024-2530-3467
lucas_min,5,0,pcal,0,0.31,0.33,0.16,4195-4196-4197-4198-4199
lucas_min,5,0,lasso,0,1.19,0.56,0.13,2017-2018-3812-3813-3815
lucas_min,5,0,mcuve,0,3.77,0.41,0.15,445-447-448-449-450
lucas_min,5,1,fsdrl,0,14.81,0.33,0.13,425-1394-2027-2351-3467
lucas_min,5,1,pcal,0,0.35,0.45,0.11,4195-4196-4197-4198-4199
lucas_min,5,1,lasso,0,1.22,0,0.17,2017-2018-2020-3813-3815
lucas_min,5,1,mcuve,0,3.81,0.24,0.13,503-504-506-508-510
lucas_min,5,2,fsdrl,0,14.85,0,0.1,431-1696-2025-2630-3461
lucas_min,5,2,pcal,0,0.22,0,0.12,4195-4196-4197-4198-4199
lucas_min,5,2,lasso,0,1.22,0,0.12,2018-2019-2020-3814-3815
lucas_min,5,2,mcuve,0,3.74,0,0.11,527-529-532-533-534
lucas_min,5,3,fsdrl,0,14.79,0.53,0.08,402-1696-2026-2761-3460
lucas_min,5,3,pcal,0,0.27,0,0.29,4195-4196-4197-4198-4199
lucas_min,5,3,lasso,0,1.21,0,0.5,2018-2019-2020-3812-3813
lucas_min,5,3,mcuve,0,3.83,0,0.86,450-3000-3001-3002-3003
lucas_min,5,4,fsdrl,0,14.53,0.18,0.12,416-1399-2025-2652-3463
lucas_min,5,4,pcal,0,0.3,0,0.23,4195-4196-4197-4198-4199
lucas_min,5,4,lasso,0,1.21,0,0.17,2018-2019-2020-3812-3813
lucas_min,5,4,mcuve,0,3.8,0.02,0.13,770-773-776-777-779
lucas_min,5,5,fsdrl,0,14.54,0.54,0.1,424-1396-2024-2758-3458
lucas_min,5,5,pcal,0,0.26,0,0.27,4195-4196-4197-4198-4199
lucas_min,5,5,lasso,0,1.23,0.5,0.1,397-2019-2020-3814-3815
lucas_min,5,5,mcuve,0,4.09,0,0.17,446-447-449-451-456
lucas_min,5,6,fsdrl,0,14.89,-0.0,0.17,431-1446-2024-2499-3458
lucas_min,5,6,pcal,0,0.25,-0.0,0.17,4195-4196-4197-4198-4199
lucas_min,5,6,lasso,0,1.25,-0.0,0.17,2018-2019-2020-3813-3815
lucas_min,5,6,mcuve,0,4.66,-0.0,0.17,807-808-809-810-813
lucas_min,5,7,fsdrl,0,14.87,0.1,0.09,431-1405-2025-2529-3461
lucas_min,5,7,pcal,0,0.25,0.04,0.1,4195-4196-4197-4198-4199
lucas_min,5,7,lasso,0,1.25,0,0.1,2018-2019-2020-3813-3815
lucas_min,5,7,mcuve,0,4.12,0.1,0.09,818-819-820-821-823
lucas_min,5,8,fsdrl,0,14.71,0.62,0.1,422-1624-2025-2403-3461
lucas_min,5,8,pcal,0,0.38,0,0.18,4195-4196-4197-4198-4199
lucas_min,5,8,lasso,0,1.21,0.68,0.09,396-398-2020-3815-3816
lucas_min,5,8,mcuve,0,4.13,0,0.31,797-799-800-801-802
lucas_min,5,9,fsdrl,0,14.42,0.56,0.09,442-1602-2026-2643-3467
lucas_min,5,9,pcal,0,0.28,0,0.23,4195-4196-4197-4198-4199
lucas_min,5,9,lasso,0,1.21,0.37,0.11,399-2019-2020-3815-3816
lucas_min,5,9,mcuve,0,4.17,0,0.15,844-845-846-847-848
lucas_min,10,0,fsdrl,0,14.43,0.44,0.14,431-1398-1440-1750-2022-2268-2653-2965-3457-3607
lucas_min,10,0,pcal,0,0.68,0.43,0.14,4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_min,10,0,lasso,0,1.19,0.5,0.13,400-401-403-2017-2018-2020-3812-3813-3814-3815
lucas_min,10,0,mcuve,0,4.0,0.26,0.16,469-470-471-472-473-474-475-476-477-478
lucas_min,10,1,fsdrl,0,14.55,0.25,0.13,490-1147-1390-1864-2022-2132-2519-2992-3448-3814
lucas_min,10,1,pcal,0,1.16,0.33,0.13,4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_min,10,1,lasso,0,1.22,0.09,0.15,399-401-2017-2018-2019-2020-3813-3814-3815-3816
lucas_min,10,1,mcuve,0,4.01,0.5,0.11,462-463-464-465-466-467-468-469-470-472
lucas_min,10,2,fsdrl,0,14.72,0,0.12,402-440-1371-1546-2022-2139-2658-2977-3001-3793
lucas_min,10,2,pcal,0,0.72,0,0.14,4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_min,10,2,lasso,0,1.22,0,0.14,397-398-399-2018-2019-2020-3813-3814-3815-3816
