dataset,target_size,algorithm,time,metric1,metric2,selected_features
lucas_min,5,fsdrl,14.86,0.33,0.11,422-1637-2024-2530-3467||425-1394-2027-2351-3467||431-1696-2025-2630-3461||402-1696-2026-2761-3460||416-1399-2025-2652-3463||424-1396-2024-2758-3458||431-1446-2024-2499-3458||431-1405-2025-2529-3461||422-1624-2025-2403-3461||442-1602-2026-2643-3467
lucas_min,5,pcal,0.29,0.08,0.19,4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199
lucas_min,5,lasso,1.22,0.21,0.17,2017-2018-3812-3813-3815||2017-2018-2020-3813-3815||2018-2019-2020-3814-3815||2018-2019-2020-3812-3813||2018-2019-2020-3812-3813||397-2019-2020-3814-3815||2018-2019-2020-3813-3815||2018-2019-2020-3813-3815||396-398-2020-3815-3816||399-2019-2020-3815-3816
lucas_min,5,mcuve,4.01,0.08,0.23,445-447-448-449-450||503-504-506-508-510||527-529-532-533-534||450-3000-3001-3002-3003||770-773-776-777-779||446-447-449-451-456||807-808-809-810-813||818-819-820-821-823||797-799-800-801-802||844-845-846-847-848
lucas_min,10,fsdrl,14.94,0.26,0.12,431-1398-1440-1750-2022-2268-2653-2965-3457-3607||490-1147-1390-1864-2022-2132-2519-2992-3448-3814||402-440-1371-1546-2022-2139-2658-2977-3001-3793||427-1780-1786-1858-2022-2552-2983-3456-3756||422-778-1145-1423-1807-2018-2655-2985-3127-3793||429-1393-1399-1786-2023-2301-2973-3449-3805||420-434-1429-1499-1847-2020-2650-2655-3162-3756||425-1304-1538-1847-2023-2141-2640-2984-3449-3756||445-822-1422-1652-2022-2347-2972-3449-3744||523-653-1328-1825-2022-2137-2650-2984-3448-3800
lucas_min,10,pcal,1.02,0.08,0.25,4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_min,10,lasso,1.22,0.28,0.12,400-401-403-2017-2018-2020-3812-3813-3814-3815||399-401-2017-2018-2019-2020-3813-3814-3815-3816||397-398-399-2018-2019-2020-3813-3814-3815-3816||401-2018-2019-2020-2021-3811-3812-3813-3814-3815||399-401-403-2018-2019-2020-3812-3813-3814-3815||397-398-399-401-2019-2020-2021-3814-3815-3816||399-400-2017-2018-2019-2020-3812-3813-3814-3815||394-396-397-2018-2019-2020-3813-3814-3815-3816||395-396-397-398-399-2019-2020-3814-3815-3816||398-399-401-403-2018-2019-2020-3815-3816-3817
lucas_min,10,mcuve,4.23,0.13,0.18,469-470-471-472-473-474-475-476-477-478||462-463-464-465-466-467-468-469-470-472||456-459-460-461-462-463-464-465-466-467||469-470-471-472-473-474-475-476-477-478||758-759-760-761-762-763-764-765-767-770||754-758-759-760-761-762-763-764-767-768||820-821-822-823-824-825-826-827-828-829||813-816-817-818-819-820-821-822-823-824||797-798-799-800-801-802-803-804-805-807||831-832-833-834-835-836-837-838-839-840
lucas_min,15,fsdrl,15.13,0.22,0.13,456-1310-1534-1550-1653-1730-1898-2010-2027-2549-2653-3200-3456-3610-3804||442-931-1479-1677-1679-1810-1888-2017-2264-2373-2448-2986-3456-3613-3806||434-907-1140-1786-1846-1897-2022-2228-2328-2649-2974-3409-3449-3809||429-904-1059-1778-1807-1889-2019-2348-2650-2758-2965-3162-3448-3793||434-777-1341-1348-1500-1771-1880-2022-2185-2510-2524-2985-3463-3613-3808||420-793-1214-1408-1523-1638-2023-2137-2328-2638-2965-3402-3635-3797||427-923-1431-1729-1752-1828-1878-2138-2208-2322-2469-2983-3458-3612-3750||438-924-1534-1820-1828-1892-2023-2204-2532-2637-2988-3457-3616-3793||456-910-1089-1526-1538-1550-1847-2024-2298-2403-2530-2975-3446-3613-3759||440-1207-1434-1747-1781-1924-2023-2643-2750-2967-3087-3456-3797
lucas_min,15,pcal,1.31,0.05,0.4,4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
