dataset,target_size,algorithm,time,metric1,metric2,selected_features
lucas_full,5,fsdrl,34.46,0.7,0.07,413-1409-2290-2979-3450||402-1091-2023-2450-3461||413-1399-2024-2268-3461||413-1399-2023-2216-3461||408-1399-2023-2208-3461||408-1399-2023-2214-3461||422-1439-2023-2315-3463||413-1399-2024-2207-3461||410-1399-2023-2203-3461||413-1399-2023-2196-3461
lucas_full,5,bsnet,108.41,0.44,0.1,612-1503-1717-3326-4076||1921-2591-3119-3326-3942||1126-1921-2486-3326-4076||1126-1921-2486-4076-4130||1126-1921-2462-3326-4076||1503-1717-1921-3326-4076||2484-3326-3519-3942-4076||1183-1717-1921-3326-4076||1717-1921-2199-4076-4130||648-1921-2628-3119-3942
lucas_full,5,mcuve,90.2,0.51,0.1,725-726-727-728-730||650-652-653-654-661||694-695-696-697-698||599-601-602-605-606||613-617-618-619-622||603-605-606-607-609||718-721-722-723-724||570-573-577-578-582||3000-3001-3002-3003-3004||743-746-747-748-749
lucas_full,5,pcal,2.86,0.16,0.12,4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199
lucas_full,5,lasso,36.08,0.5,0.09,402-403-404-406-3819||402-403-404-406-3819||401-403-404-3818-3819||403-404-406-3818-3819||403-404-406-3818-3819||402-403-404-406-3819||403-404-406-407-3819||402-403-404-406-3818||403-404-406-407-3818||403-404-406-3818-3819
lucas_full,10,fsdrl,39.35,0.59,0.08,432-1137-1398-1783-1923-2020-2137-2976-3435-3806||426-1135-1678-1810-1924-2020-2134-2976-3435-3805||416-468-1088-1690-2021-2022-2312-2698-3441-3812||413-1101-1804-1921-2021-2132-2466-2980-3435-3790||441-1387-1809-1887-2020-2133-2980-3435-3804||416-1101-1443-1784-2018-2019-2125-2979-3435-3809||450-1131-1505-1879-1888-2141-2981-3435-3796||409-1251-1452-1758-2020-2126-2294-2969-3437-3808||419-1135-1150-1398-1922-2020-2134-2973-3435-3795||422-1137-1399-1755-2020-2134-2976-3435-3753
lucas_full,10,bsnet,109.77,0.58,0.09,612-1126-1503-1717-1816-1921-3326-3519-4076-4130||1503-1757-1921-2462-2591-3119-3326-3519-3942-4130||503-1126-1307-1503-1921-2486-2644-3326-4076-4130||1126-1921-2416-2462-2486-2628-3437-4076-4082-4130||697-1126-1757-1816-1921-2462-2872-3104-3326-4076||1503-1717-1921-2427-2462-2486-3326-3785-4076-4114||1503-2398-2484-2787-3000-3161-3326-3519-3942-4076||1183-1503-1717-1885-1921-2486-2703-3326-3683-4076||435-503-1717-1921-2199-2486-2872-3000-4076-4130||648-1698-1921-2199-2628-2872-3119-3334-3942-4130
lucas_full,10,mcuve,88.82,0.49,0.1,522-523-524-525-526-527-528-529-530-531||450-451-452-453-454-455-456-457-458-460||2992-2993-2994-2995-2996-2997-2998-2999-3000-3001||636-637-639-640-641-642-643-645-646-647||498-500-501-502-503-504-505-506-507-508||2990-2991-2992-2993-2994-2995-2996-2997-2998-2999||543-545-546-548-549-551-553-554-555-559||709-710-711-712-713-715-716-717-718-720||707-708-709-710-711-712-713-714-715-717||602-604-605-606-607-608-612-613-615-616
lucas_full,10,pcal,3.29,0.14,0.13,4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_full,10,lasso,36.08,0.5,0.09,402-403-404-405-406-407-409-410-3818-3819||402-403-404-405-406-407-409-410-3818-3819||401-402-403-404-405-406-407-409-3818-3819||403-404-405-406-407-409-410-412-3818-3819||402-403-404-405-406-407-409-410-3818-3819||402-403-404-405-406-407-409-410-3818-3819||402-403-404-405-406-407-409-410-3818-3819||402-403-404-405-406-407-409-410-3818-3819||403-404-405-406-407-409-410-412-3818-3819||402-403-404-405-406-407-409-410-3818-3819
lucas_full,15,fsdrl,41.84,0.51,0.1,439-1354-1382-1731-1877-1909-2018-2020-2122-2128-2958-3199-3405-3809||407-1150-1861-1880-1923-1925-1928-1992-2014-2137-2292-2974-3445-3615-3805||450-1426-1590-1693-1807-2019-2020-2127-2128-2134-2959-3191-3405-3806||432-1139-1524-1896-1923-2019-2134-2970-3125-3435-3804||418-1131-1508-1818-1923-1925-1926-2020-2134-2517-2968-2981-3410-3745-3750||408-1268-1397-1814-1891-1897-1898-2007-2134-2221-2246-2981-3450-3615-3804||430-1137-1668-1743-1759-2020-2113-2120-3444-3813||422-1137-1615-1910-1922-1923-2017-2128-2973-3435-3730-3804||413-1450-1494-1740-1928-1943-1990-2017-2127-2291-2471-3205-3444-3615-3759||442-1398-1425-1800-1918-1930-2019-2128-2437-3199-3203-3417-3760
lucas_full,15,bsnet,109.77,0.48,0.1,503-612-1126-1503-1717-1757-1789-1816-1921-2741-3326-3519-3942-4076-4130||622-1503-1757-1921-2199-2462-2591-2872-3104-3119-3326-3519-3942-4130-4152||503-1126-1307-1503-1712-1789-1921-2260-2486-2644-3000-3326-3334-4076-4130||435-1126-1921-2416-2462-2486-2628-2872-3000-3437-3631-3942-4076-4082-4130||697-909-1126-1503-1757-1816-1921-2462-2872-3000-3104-3326-3942-4076-4152||503-626-1503-1659-1717-1749-1921-2427-2462-2486-2810-3326-3785-4076-4114||503-1503-1816-1921-2398-2484-2787-3000-3161-3326-3519-3683-3942-4076-4130||1183-1503-1717-1816-1885-1921-2213-2462-2486-2703-2741-3326-3479-3683-4076||435-503-1717-1749-1921-2199-2486-2574-2872-3000-3104-3161-3437-4076-4130||648-989-1506-1698-1757-1921-2199-2220-2628-2872-3119-3334-3942-3993-4130
lucas_full,15,mcuve,92.02,0.54,0.09,655-656-658-659-660-661-662-663-664-665-666-667-668-669-670||727-728-729-730-731-732-733-734-735-736-737-738-739-740-741||636-637-638-639-640-641-642-643-644-645-646-647-648-649-650||744-745-746-747-748-749-750-751-752-753-754-755-756-757-758||695-697-698-699-700-701-702-703-704-705-706-707-708-709-710||534-535-536-537-538-539-540-541-542-543-544-545-546-547-548||456-458-459-460-461-462-463-464-465-466-467-468-469-470-471||739-740-741-742-743-744-745-746-747-748-749-750-751-752-753||506-507-508-509-510-511-512-513-514-515-516-517-518-519-520||504-505-506-507-508-509-510-511-512-513-514-515-516-517-518
lucas_full,15,pcal,4.45,0.12,0.13,4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_full,15,lasso,36.08,0.53,0.09,401-402-403-404-405-406-407-408-409-410-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||401-402-403-404-405-406-407-408-409-410-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||401-402-403-404-405-406-407-408-409-410-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||401-402-403-404-405-406-407-408-409-410-412-413-414-3818-3819
lucas_full,20,fsdrl,43.55,0.4,0.1,468-1399-1437-1569-1622-1880-1889-1895-2021-2142-2143-2145-2969-2970-3188-3405-3747-3756||434-1399-1436-1571-1655-1757-2020-2137-2138-2139-2140-2961-3187-3403-3732-3756||439-1399-1473-1853-1879-1925-1948-2017-2134-2291-2962-3191-3405-3734-3804
lucas_full,20,bsnet,104.02,0.17,0.12,503-612-648-1126-1503-1717-1757-1789-1816-1921-2398-2412-2741-3104-3326-3519-3942-4076-4130-4152||503-622-1503-1757-1789-1921-2199-2462-2591-2644-2860-2872-3104-3119-3326-3519-3790-3942-4130-4152||503-1126-1307-1503-1712-1789-1885-1921-2251-2260-2398-2486-2644-2977-2999-3000-3326-3334-4076-4130
lucas_full,20,mcuve,91.32,0.57,0.08,472-473-474-475-476-477-478-479-480-481-482-483-484-485-486-487-488-489-490-491||691-693-694-695-696-697-698-699-700-701-702-703-704-705-706-707-708-709-710-711
lucas_full,20,pcal,4.82,0.04,0.12,4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_full,20,lasso,34.41,0.41,0.1,401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1417-1418-3818-3819-3820||401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1417-1418-3818-3819-3820
