dataset,target_size,fold,algorithm,repeat,time,metric1,metric2,selected_features
lucas_min,5,0,spa,0,834.5,0.48,0.14,50-407-1108-3806-4199
lucas_min,5,1,spa,0,827.39,0.22,0.14,43-386-1108-3817-4199
lucas_min,5,2,spa,0,808.6,0,0.11,43-370-1108-3804-4199
lucas_min,5,3,spa,0,811.44,0.32,0.1,46-386-1108-3822-4199
lucas_min,5,4,spa,0,796.11,0.27,0.11,46-400-1105-3822-4199
lucas_min,5,5,spa,0,783.42,0.43,0.11,46-390-1104-3817-4199
lucas_min,5,6,spa,0,767.16,-0.0,0.17,45-386-1104-3817-4199
lucas_min,5,7,spa,0,777.81,0.07,0.09,50-390-1104-3817-4199
lucas_min,5,8,spa,0,689.98,0.74,0.08,50-390-1104-3815-4199
lucas_min,5,9,spa,0,682.0,0.23,0.12,46-386-1104-3817-4199
lucas_min,10,0,spa,0,1418.38,0.46,0.14,54-277-407-1104-2026-2983-3088-3517-3826-4199
lucas_min,10,1,spa,0,1418.7,0.12,0.14,43-361-695-1104-1964-3009-3088-3612-3821-4199
lucas_min,10,2,spa,0,1472.37,0,0.11,43-361-688-1104-2062-3009-3383-3613-3823-4199
lucas_min,10,3,spa,0,1521.27,0.21,0.11,43-349-677-1104-1975-3009-3088-3612-3819-4199
lucas_min,10,4,spa,0,1443.17,0.13,0.12,39-314-468-1104-1951-3014-3090-3613-3823-4199
lucas_min,10,5,spa,0,1420.99,0.33,0.12,39-314-461-1104-1853-3013-3090-3613-3823-4199
lucas_min,10,6,spa,0,1595.42,-0.0,0.17,39-314-468-1104-1911-3013-3090-3613-3823-4199
lucas_min,10,7,spa,0,1801.22,0,0.1,45-359-683-1104-1966-3009-3086-3612-3822-4199
lucas_min,10,8,spa,0,1787.66,0.67,0.1,40-314-473-1104-3011-3090-3339-3614-3829-4199
lucas_min,10,9,spa,0,1685.18,0.3,0.12,40-314-461-1104-2292-3013-3088-3613-3825-4199
lucas_min,15,0,spa,0,2131.06,0.41,0.15,0-38-295-417-609-1104-1667-2928-3014-3090-3378-3614-3819-3895-4199
lucas_min,15,1,spa,0,2071.15,0.1,0.15,0-41-340-438-719-1104-1851-2939-3012-3088-3466-3614-3819-3885-4199
lucas_min,15,2,spa,0,2073.61,0,0.12,0-133-300-414-612-1171-2028-2657-2940-3016-3089-3614-3807-3873-4199
lucas_min,15,3,spa,0,2065.82,0.18,0.11,0-40-314-420-625-1104-1876-2939-3010-3088-3462-3614-3815-3886-4199
lucas_min,15,4,spa,0,2065.7,0.09,0.13,0-50-274-394-733-1104-2018-2939-3009-3083-3465-3614-3804-3886-4199
