dataset,target_size,algorithm,time,metric1,metric2
LUCAS,5,BSDR,34.46,0.7,0.07
LUCAS,5,BS-Net-FC,108.41,0.44,0.1
LUCAS,5,MCUVE,86.05,0.45,0.1
LUCAS,5,PCA-loading,2.86,0.16,0.12
LUCAS,5,LASSO,1.68,0.14,0.12
LUCAS,5,SPA,100.0,0.2,0.8
LUCAS,10,BSDR,39.35,0.59,0.08
LUCAS,10,BS-Net-FC,109.77,0.58,0.09
LUCAS,10,MCUVE,85.15,0.56,0.09
LUCAS,10,PCA-loading,3.29,0.14,0.13
LUCAS,10,LASSO,1.68,0.11,0.14
LUCAS,10,SPA,100.0,0.2,0.8
LUCAS,15,BSDR,41.84,0.51,0.1
LUCAS,15,BS-Net-FC,109.77,0.48,0.1
LUCAS,15,MCUVE,85.22,0.51,0.09
LUCAS,15,PCA-loading,4.45,0.12,0.13
LUCAS,15,LASSO,1.68,0.08,0.16
LUCAS,15,SPA,100.0,0.2,0.8
LUCAS,20,BSDR,46.22,0.45,0.11
LUCAS,20,BS-Net-FC,119.28,0.36,0.12
LUCAS,20,MCUVE,85.44,0.42,0.11
LUCAS,20,PCA-loading,4.76,0.09,0.13
LUCAS,20,LASSO,1.68,0.06,0.18
LUCAS,20,SPA,100.0,0.2,0.8
LUCAS,25,BSDR,46.44,0.44,0.11
LUCAS,25,BS-Net-FC,128.48,0.34,0.12
LUCAS,25,MCUVE,85.14,0.39,0.12
LUCAS,25,PCA-loading,5.15,0.07,0.14
LUCAS,25,LASSO,1.68,0.06,0.2
LUCAS,25,SPA,100.0,0.2,0.8
LUCAS,30,BSDR,49.33,0.42,0.11
LUCAS,30,BS-Net-FC,128.48,0.38,0.11
LUCAS,30,MCUVE,86.29,0.46,0.1
LUCAS,30,PCA-loading,6.02,0.07,0.15
LUCAS,30,LASSO,1.68,0.07,0.24
LUCAS,30,SPA,100.0,0.2,0.8
LUCAS (Skipped),5,BSDR,16.4,0.69,0.08
LUCAS (Skipped),5,BS-Net-FC,95.07,0.63,0.08
LUCAS (Skipped),5,MCUVE,1.78,0.65,0.08
LUCAS (Skipped),5,PCA-loading,0.11,0.63,0.08
LUCAS (Skipped),5,LASSO,0.02,0.21,0.13
LUCAS (Skipped),5,SPA,7.18,0.64,0.08
LUCAS (Skipped),10,BSDR,16.93,0.59,0.09
LUCAS (Skipped),10,BS-Net-FC,95.07,0.61,0.08
LUCAS (Skipped),10,MCUVE,1.79,0.64,0.08
LUCAS (Skipped),10,PCA-loading,0.32,0.57,0.09
LUCAS (Skipped),10,LASSO,0.02,0.52,0.09
LUCAS (Skipped),10,SPA,13.03,0.4,0.11
LUCAS (Skipped),15,BSDR,17.55,0.52,0.09
LUCAS (Skipped),15,BS-Net-FC,95.07,0.45,0.1
LUCAS (Skipped),15,MCUVE,1.8,0.57,0.09
LUCAS (Skipped),15,PCA-loading,0.45,0.45,0.1
LUCAS (Skipped),15,LASSO,0.02,0.46,0.1
LUCAS (Skipped),15,SPA,18.67,0.48,0.1
LUCAS (Skipped),20,BSDR,18.4,0.49,0.1
LUCAS (Skipped),20,BS-Net-FC,95.07,0.42,0.1
LUCAS (Skipped),20,MCUVE,1.79,0.46,0.1
LUCAS (Skipped),20,PCA-loading,0.63,0.35,0.11
LUCAS (Skipped),20,LASSO,0.02,0.39,0.11
LUCAS (Skipped),20,SPA,22.92,0.45,0.1
LUCAS (Skipped),25,BSDR,19.47,0.48,0.1
LUCAS (Skipped),25,BS-Net-FC,95.07,0.45,0.1
LUCAS (Skipped),25,MCUVE,1.83,0.43,0.1
LUCAS (Skipped),25,PCA-loading,0.68,0.36,0.11
LUCAS (Skipped),25,LASSO,0.02,0.18,0.13
LUCAS (Skipped),25,SPA,27.39,0.49,0.1
LUCAS (Skipped),30,BSDR,20.81,0.45,0.11
LUCAS (Skipped),30,BS-Net-FC,95.07,0.44,0.1
LUCAS (Skipped),30,MCUVE,1.79,0.49,0.1
LUCAS (Skipped),30,PCA-loading,0.75,0.43,0.1
LUCAS (Skipped),30,LASSO,0.02,0.25,0.12
LUCAS (Skipped),30,SPA,31.44,0.49,0.09
LUCAS (Downsampled),5,BSDR,16.77,0.71,0.07
LUCAS (Downsampled),5,BS-Net-FC,93.86,0.59,0.08
LUCAS (Downsampled),5,MCUVE,1.79,0.64,0.08
LUCAS (Downsampled),5,PCA-loading,0.1,0.55,0.09
LUCAS (Downsampled),5,LASSO,0.02,0.44,0.11
LUCAS (Downsampled),5,SPA,7.17,0.62,0.08
LUCAS (Downsampled),10,BSDR,16.72,0.66,0.08
LUCAS (Downsampled),10,BS-Net-FC,93.86,0.58,0.09
LUCAS (Downsampled),10,MCUVE,1.78,0.64,0.08
LUCAS (Downsampled),10,PCA-loading,0.36,0.57,0.09
LUCAS (Downsampled),10,LASSO,0.02,0.52,0.1
LUCAS (Downsampled),10,SPA,13.17,0.44,0.1
LUCAS (Downsampled),15,BSDR,17.34,0.55,0.09
LUCAS (Downsampled),15,BS-Net-FC,93.86,0.53,0.09
LUCAS (Downsampled),15,MCUVE,1.78,0.58,0.09
LUCAS (Downsampled),15,PCA-loading,0.51,0.45,0.1
LUCAS (Downsampled),15,LASSO,0.02,0.45,0.1
LUCAS (Downsampled),15,SPA,18.19,0.42,0.1
