dataset,target_size,algorithm,time,metric1,metric2,selected_features
lucas_min,5,mcuve,3.48,0.09,0.29,475-476-478-480-482||527-528-529-532-533||428-432-433-434-436||2999-3000-3001-3002-3003||786-788-789-790-793||445-446-447-450-454||812-813-814-815-816||788-789-790-791-793||812-813-814-815-816||803-806-807-808-810
lucas_min,10,mcuve,3.52,0.17,0.33,463-464-465-466-467-468-469-470-471-472||462-463-464-465-466-467-468-469-470-471||432-433-434-435-436-437-438-439-440-441||480-481-2993-2994-2995-2996-2997-2998-2999-3000||786-788-789-790-791-792-793-794-795-797||792-793-794-795-796-797-798-799-800-801||821-822-823-824-825-826-827-828-829-830||822-823-824-825-826-827-828-829-830-831||788-789-790-791-792-793-794-795-796-797||821-822-823-824-825-826-827-828-829-831
lucas_min,15,mcuve,3.61,0.1,0.22,464-465-466-467-468-469-470-471-472-473-474-475-476-477-478||451-452-453-454-456-457-458-459-460-461-462-463-464-465-466||447-448-449-450-451-452-453-454-456-457-458-459-460-461-462||464-465-466-467-468-469-470-471-472-473-474-475-476-478-480||797-798-799-800-801-802-803-804-805-806-807-808-809-810-811||807-808-809-810-811-812-813-814-815-816-817-818-819-820-821||467-468-469-470-471-472-473-474-475-476-477-478-479-480-481||773-774-775-776-777-778-779-780-781-782-783-784-785-786-788||785-786-787-788-789-790-791-792-793-794-795-796-797-798-800||413-414-415-416-417-418-419-420-421-422-423-424-425-426-427
lucas_min,20,mcuve,3.57,0.09,0.16,414-415-416-417-418-419-420-421-422-423-424-425-426-427-428-429-430-431-432-433||723-724-725-726-727-728-729-730-731-732-733-734-735-736-737-738-739-740-741-745||424-425-426-427-428-429-430-431-432-433-434-435-436-437-438-439-440-441-442-443||770-771-772-773-774-775-776-777-778-779-780-781-782-783-784-785-786-787-788-789||764-766-767-768-769-770-771-772-773-774-775-776-777-778-779-780-781-782-783-785||484-486-487-488-489-490-491-492-493-494-495-496-497-498-499-500-501-502-503-505||785-786-787-788-789-790-791-792-793-794-795-796-797-798-799-800-801-802-803-804||823-824-825-826-827-828-829-830-831-832-833-834-835-836-837-838-839-840-841-842||795-796-797-798-799-800-801-802-803-804-805-806-807-808-809-810-811-812-813-814||797-799-800-801-802-803-804-805-806-807-808-809-810-811-812-813-814-815-816-817
lucas_min,25,mcuve,3.53,0.06,0.4,444-445-446-447-448-449-450-451-452-453-454-455-456-457-458-459-460-461-462-463-464-465-466-467-468||779-781-782-783-784-785-786-787-788-789-790-791-792-793-794-795-796-797-798-799-800-801-802-803-804||430-431-432-433-434-435-436-437-438-439-440-441-442-443-444-445-446-447-448-449-450-451-452-453-454||2987-2988-2989-2990-2991-2992-2993-2994-2995-2996-2997-2998-2999-3000-3001-3002-3003-3004-3005-3006-3007-3008-3009-3010-3011||761-762-763-764-765-766-767-768-769-770-771-772-773-774-775-776-777-778-779-780-781-782-783-784-785||750-751-752-753-754-755-756-757-758-759-760-761-762-763-764-765-766-767-768-769-770-771-772-773-774||802-803-804-805-806-807-808-809-810-811-812-813-814-815-816-817-818-819-820-821-822-823-824-825-826||792-793-794-795-796-797-798-799-800-801-802-803-804-805-806-807-808-809-810-811-812-813-814-815-816||803-804-805-806-807-808-809-810-811-812-813-814-815-816-817-818-819-820-821-822-823-824-825-826-827||786-787-788-789-790-791-792-793-794-795-796-797-798-799-800-801-802-803-804-805-806-807-808-809-810
lucas_min,30,mcuve,3.46,0.06,0.47,430-431-432-433-434-435-436-437-438-439-440-441-442-443-444-445-446-447-448-449-450-451-452-453-454-455-456-457-458-459||464-465-466-467-468-469-470-471-472-473-474-475-476-477-478-479-480-481-482-483-484-485-486-487-488-489-490-491-492-493||459-460-461-462-463-464-465-466-467-468-469-470-471-472-473-474-475-476-477-478-479-480-481-482-483-484-485-486-487-488||467-469-470-471-472-473-474-475-476-477-478-479-480-2995-2996-2997-2998-2999-3000-3001-3002-3003-3004-3005-3006-3007-3008-3009-3010-3011||785-786-787-788-789-790-791-792-793-794-795-796-797-798-799-800-801-802-803-804-805-806-807-808-809-810-811-812-813-814||779-780-781-782-783-784-785-786-787-788-789-790-791-792-793-794-795-796-797-798-799-800-801-802-803-804-805-806-807-808||825-826-827-828-829-830-831-832-833-834-835-836-837-838-839-840-841-842-843-844-845-846-847-848-849-850-851-852-853-854||744-745-746-747-748-749-750-751-752-753-754-755-756-757-758-759-760-761-762-763-764-765-766-767-768-769-770-771-772-773||735-736-737-738-739-740-741-742-743-744-745-746-747-748-749-750-751-752-753-754-755-756-757-758-759-760-761-762-763-764||767-769-770-771-772-773-774-775-776-777-778-779-780-781-782-783-784-785-786-787-788-789-790-791-792-793-794-795-796-797
lucas_full,5,mcuve,86.05,0.45,0.1,479-481-482-483-484||756-757-758-759-760||737-738-739-740-741||2991-2992-2993-2994-2995||616-617-620-622-624||692-694-695-697-699||520-521-522-523-524||753-754-755-756-757||3000-3001-3002-3003-3004||748-749-750-751-752
lucas_full,10,mcuve,85.15,0.56,0.09,682-684-686-687-688-689-690-691-692-694||705-706-707-708-709-710-711-712-713-715||727-728-732-733-734-735-736-737-738-739||461-462-463-464-465-466-467-468-469-470||763-764-765-766-767-768-769-770-771-772||669-670-671-672-673-674-675-676-679-680||505-507-508-509-510-511-512-513-514-515||719-720-721-722-723-725-726-727-728-729||513-514-515-516-517-518-519-520-521-523||681-683-684-685-686-687-688-689-690-691
lucas_full,15,mcuve,85.22,0.51,0.09,749-750-751-752-753-754-755-756-757-758-759-760-761-762-763||2987-2988-2989-2990-2991-2992-2993-2994-2995-2996-2997-2998-2999-3000-3001||739-740-741-742-743-744-745-746-747-748-749-750-751-752-753||678-679-680-681-682-683-684-685-686-687-688-689-690-691-692||647-649-650-651-652-653-654-655-656-657-658-659-660-661-663||2986-2987-2988-2989-2990-2991-2992-2993-2994-2995-2996-2997-2998-2999-3000||577-578-579-580-581-582-583-584-585-586-587-588-589-590-591||717-718-719-720-721-722-723-724-725-726-727-728-729-730-731||626-627-628-629-630-631-632-633-634-635-636-637-638-639-641||517-518-519-520-521-522-523-524-525-526-527-528-529-530-531
lucas_full,20,mcuve,85.44,0.42,0.11,681-682-683-684-685-686-687-688-689-690-691-692-693-694-695-696-697-698-699-700||470-471-472-473-474-475-476-477-478-479-480-481-482-483-484-485-486-487-488-489||683-685-687-688-689-690-691-692-693-694-695-696-697-698-699-700-701-702-703-704||740-741-742-743-744-745-746-747-748-750-751-2994-2995-2996-2997-2998-2999-3000-3001-3002||511-513-514-515-516-517-518-519-520-521-522-523-524-525-526-527-528-529-530-532||730-731-732-733-734-735-736-737-738-739-740-741-742-743-744-745-746-747-748-749||465-466-467-468-469-470-471-472-473-474-475-476-477-478-479-480-481-482-483-484||727-729-730-731-732-733-734-735-736-737-738-739-740-741-742-743-744-745-746-747||506-507-508-509-510-511-512-513-514-515-516-517-518-519-2995-2996-2997-2998-2999-3000||736-737-738-739-740-741-742-743-744-745-746-747-748-749-750-751-752-753-754-755
