dataset,target_size,algorithm,time,metric1,metric2,selected_features
lucas_full,5,fsdrl,34.46,0.7,0.07,413-1409-2290-2979-3450||402-1091-2023-2450-3461||413-1399-2024-2268-3461||413-1399-2023-2216-3461||408-1399-2023-2208-3461||408-1399-2023-2214-3461||422-1439-2023-2315-3463||413-1399-2024-2207-3461||410-1399-2023-2203-3461||413-1399-2023-2196-3461
lucas_full,5,bsnet,108.41,0.44,0.1,612-1503-1717-3326-4076||1921-2591-3119-3326-3942||1126-1921-2486-3326-4076||1126-1921-2486-4076-4130||1126-1921-2462-3326-4076||1503-1717-1921-3326-4076||2484-3326-3519-3942-4076||1183-1717-1921-3326-4076||1717-1921-2199-4076-4130||648-1921-2628-3119-3942
lucas_full,5,pcal,2.86,0.16,0.12,4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199||4195-4196-4197-4198-4199
lucas_full,5,lasso,36.08,0.5,0.09,402-403-404-406-3819||402-403-404-406-3819||401-403-404-3818-3819||403-404-406-3818-3819||403-404-406-3818-3819||402-403-404-406-3819||403-404-406-407-3819||402-403-404-406-3818||403-404-406-407-3818||403-404-406-3818-3819
lucas_full,10,fsdrl,39.35,0.59,0.08,432-1137-1398-1783-1923-2020-2137-2976-3435-3806||426-1135-1678-1810-1924-2020-2134-2976-3435-3805||416-468-1088-1690-2021-2022-2312-2698-3441-3812||413-1101-1804-1921-2021-2132-2466-2980-3435-3790||441-1387-1809-1887-2020-2133-2980-3435-3804||416-1101-1443-1784-2018-2019-2125-2979-3435-3809||450-1131-1505-1879-1888-2141-2981-3435-3796||409-1251-1452-1758-2020-2126-2294-2969-3437-3808||419-1135-1150-1398-1922-2020-2134-2973-3435-3795||422-1137-1399-1755-2020-2134-2976-3435-3753
lucas_full,10,bsnet,109.77,0.58,0.09,612-1126-1503-1717-1816-1921-3326-3519-4076-4130||1503-1757-1921-2462-2591-3119-3326-3519-3942-4130||503-1126-1307-1503-1921-2486-2644-3326-4076-4130||1126-1921-2416-2462-2486-2628-3437-4076-4082-4130||697-1126-1757-1816-1921-2462-2872-3104-3326-4076||1503-1717-1921-2427-2462-2486-3326-3785-4076-4114||1503-2398-2484-2787-3000-3161-3326-3519-3942-4076||1183-1503-1717-1885-1921-2486-2703-3326-3683-4076||435-503-1717-1921-2199-2486-2872-3000-4076-4130||648-1698-1921-2199-2628-2872-3119-3334-3942-4130
lucas_full,10,pcal,3.29,0.14,0.13,4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_full,10,lasso,36.08,0.5,0.09,402-403-404-405-406-407-409-410-3818-3819||402-403-404-405-406-407-409-410-3818-3819||401-402-403-404-405-406-407-409-3818-3819||403-404-405-406-407-409-410-412-3818-3819||402-403-404-405-406-407-409-410-3818-3819||402-403-404-405-406-407-409-410-3818-3819||402-403-404-405-406-407-409-410-3818-3819||402-403-404-405-406-407-409-410-3818-3819||403-404-405-406-407-409-410-412-3818-3819||402-403-404-405-406-407-409-410-3818-3819
lucas_full,15,fsdrl,41.84,0.51,0.1,439-1354-1382-1731-1877-1909-2018-2020-2122-2128-2958-3199-3405-3809||407-1150-1861-1880-1923-1925-1928-1992-2014-2137-2292-2974-3445-3615-3805||450-1426-1590-1693-1807-2019-2020-2127-2128-2134-2959-3191-3405-3806||432-1139-1524-1896-1923-2019-2134-2970-3125-3435-3804||418-1131-1508-1818-1923-1925-1926-2020-2134-2517-2968-2981-3410-3745-3750||408-1268-1397-1814-1891-1897-1898-2007-2134-2221-2246-2981-3450-3615-3804||430-1137-1668-1743-1759-2020-2113-2120-3444-3813||422-1137-1615-1910-1922-1923-2017-2128-2973-3435-3730-3804||413-1450-1494-1740-1928-1943-1990-2017-2127-2291-2471-3205-3444-3615-3759||442-1398-1425-1800-1918-1930-2019-2128-2437-3199-3203-3417-3760
lucas_full,15,bsnet,109.77,0.48,0.1,503-612-1126-1503-1717-1757-1789-1816-1921-2741-3326-3519-3942-4076-4130||622-1503-1757-1921-2199-2462-2591-2872-3104-3119-3326-3519-3942-4130-4152||503-1126-1307-1503-1712-1789-1921-2260-2486-2644-3000-3326-3334-4076-4130||435-1126-1921-2416-2462-2486-2628-2872-3000-3437-3631-3942-4076-4082-4130||697-909-1126-1503-1757-1816-1921-2462-2872-3000-3104-3326-3942-4076-4152||503-626-1503-1659-1717-1749-1921-2427-2462-2486-2810-3326-3785-4076-4114||503-1503-1816-1921-2398-2484-2787-3000-3161-3326-3519-3683-3942-4076-4130||1183-1503-1717-1816-1885-1921-2213-2462-2486-2703-2741-3326-3479-3683-4076||435-503-1717-1749-1921-2199-2486-2574-2872-3000-3104-3161-3437-4076-4130||648-989-1506-1698-1757-1921-2199-2220-2628-2872-3119-3334-3942-3993-4130
lucas_full,15,pcal,4.45,0.12,0.13,4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_full,15,lasso,36.08,0.53,0.09,401-402-403-404-405-406-407-408-409-410-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||401-402-403-404-405-406-407-408-409-410-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||401-402-403-404-405-406-407-408-409-410-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-3818-3819||401-402-403-404-405-406-407-408-409-410-412-413-414-3818-3819
lucas_full,20,fsdrl,46.22,0.45,0.11,468-1399-1437-1569-1622-1880-1889-1895-2021-2142-2143-2145-2969-2970-3188-3405-3747-3756||434-1399-1436-1571-1655-1757-2020-2137-2138-2139-2140-2961-3187-3403-3732-3756||439-1399-1473-1853-1879-1925-1948-2017-2134-2291-2962-3191-3405-3734-3804||468-1433-1855-1889-1923-1926-1942-2019-2020-2130-2133-2975-2977-3410-3710-3799||439-1102-1398-1579-1731-1752-1920-1924-2021-2140-2141-2505-2964-2965-3185-3409-3738-3750||441-1131-1391-1564-1718-1719-1921-1924-1941-2020-2137-2141-2974-2981-3424-3740-3750||481-1259-1395-1570-1732-1803-1883-1892-1926-2020-2141-2142-2967-2968-3183-3405-3741-3753||453-1137-1396-1399-1567-1731-1927-1928-2020-2021-2139-2141-2967-3184-3405-3745-3747||439-1131-1399-1577-1753-1925-2021-2141-2142-2517-2973-2980-3435-3736-3756||439-1135-1399-1553-1682-1855-1922-1925-1933-2021-2140-2141-2142-2511-2973-2978-3410-3738-3752
lucas_full,20,bsnet,119.28,0.36,0.12,503-612-648-1126-1503-1717-1757-1789-1816-1921-2398-2412-2741-3104-3326-3519-3942-4076-4130-4152||503-622-1503-1757-1789-1921-2199-2462-2591-2644-2860-2872-3104-3119-3326-3519-3790-3942-4130-4152||503-1126-1307-1503-1712-1789-1885-1921-2251-2260-2398-2486-2644-2977-2999-3000-3326-3334-4076-4130||435-909-1126-1921-1983-2416-2462-2486-2565-2628-2872-3000-3175-3437-3631-3785-3942-4076-4082-4130||697-909-1126-1503-1757-1789-1816-1921-1925-2462-2872-3000-3104-3161-3326-3437-3924-3942-4076-4152||503-626-872-1449-1503-1659-1717-1749-1921-2251-2260-2427-2462-2486-2810-2872-3326-3785-4076-4114||52-503-1251-1503-1789-1816-1921-2398-2484-2787-3000-3161-3326-3519-3683-3785-3942-4076-4114-4130||755-1183-1486-1503-1717-1816-1885-1921-2213-2462-2486-2703-2741-3175-3326-3395-3479-3683-4076-4130||435-503-648-1183-1503-1717-1749-1921-2199-2486-2574-2741-2872-3000-3104-3161-3437-3790-4076-4130||435-648-989-1506-1698-1757-1816-1921-2199-2220-2486-2591-2628-2872-3119-3334-3395-3942-3993-4130
lucas_full,20,pcal,4.76,0.09,0.13,4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_full,20,lasso,35.34,0.51,0.09,401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1417-1418-3818-3819-3820||401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1417-1418-3818-3819-3820||401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1415-1418-3818-3819-3820||402-403-404-405-406-407-408-409-410-411-412-413-414-1412-1414-1416-1417-1418-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-1415-1417-1418-1419-3818-3819-3820||401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1417-1418-3818-3819-3820||402-403-404-405-406-407-408-409-410-411-412-413-414-1412-1413-1415-1417-1418-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-1413-1415-1416-1417-1418-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-1413-1415-1416-1417-1418-3818-3819||401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1417-1418-3818-3819-3820
lucas_full,25,fsdrl,46.44,0.44,0.11,453-1399-1444-1448-1792-1828-1871-1922-1926-2017-2113-2121-2125-2471-2474-3199-3395-3398-3725-3806||467-1370-1399-1736-1744-1792-1810-1923-2017-2113-2125-2467-2470-3199-3398-3723-3795||455-1399-1448-1823-1919-1922-1924-2017-2118-2124-2128-2445-2449-3197-3395-3398-3405-3722-3806||453-1398-1430-1456-1851-1922-1926-2017-2018-2117-2120-2484-2486-3197-3398-3400-3721-3804||418-1331-1455-1806-1880-1895-1924-1952-2019-2020-2134-2137-2138-2150-2973-2979-2981-3426-3435-3612-3745-3750||458-1062-1196-1449-1461-1880-1881-1882-1888-2020-2127-2130-2131-2960-2976-3185-3403-3405-3731-3804||468-1515-1843-1853-1885-1910-1925-2019-2020-2133-2134-2976-2977-3348-3390-3410-3804||460-1450-1588-1793-1925-2015-2017-2018-2019-2020-2128-2133-2134-2959-2961-3191-3400-3726-3732||441-1138-1219-1399-1779-1897-1984-2011-2012-2017-2019-2020-2126-2127-2128-2272-3204-3205-3400-3624-3741-3806||496-1448-1651-1653-1922-1923-1925-1926-1956-2020-2133-2134-2969-2972-2973-3409-3417-3738-3747
lucas_full,25,bsnet,128.48,0.34,0.12,503-612-626-648-1126-1486-1503-1717-1757-1789-1816-1921-2398-2412-2644-2741-3104-3326-3519-3790-3942-4076-4114-4130-4152||503-622-1503-1757-1789-1816-1921-2080-2199-2462-2591-2644-2860-2872-2999-3101-3104-3119-3326-3519-3790-3942-4114-4130-4152||503-1126-1307-1503-1712-1789-1885-1921-2251-2260-2398-2401-2486-2644-2787-2872-2977-2999-3000-3161-3326-3334-4018-4076-4130||435-909-1126-1757-1921-1983-2416-2427-2462-2484-2486-2565-2628-2872-3000-3175-3437-3631-3785-3942-3980-4018-4076-4082-4130||697-909-1126-1183-1503-1589-1757-1789-1816-1921-1925-2199-2462-2702-2872-3000-3104-3161-3326-3437-3790-3924-3942-4076-4152||503-626-872-1449-1503-1659-1717-1749-1816-1921-2199-2251-2260-2427-2462-2486-2558-2810-2872-3326-3785-4018-4076-4114-4130||52-503-989-1251-1424-1503-1789-1793-1816-1921-2398-2484-2787-3000-3161-3326-3334-3519-3683-3785-3942-4076-4114-4130-4152||755-1183-1486-1503-1717-1816-1885-1921-2213-2252-2462-2486-2703-2741-3000-3175-3283-3326-3395-3479-3683-3712-4018-4076-4130||435-503-648-872-1183-1481-1503-1506-1717-1749-1921-2199-2486-2574-2741-2872-3000-3104-3161-3334-3437-3790-3916-4076-4130||244-435-648-989-1378-1449-1506-1698-1757-1816-1921-2199-2216-2220-2486-2591-2628-2872-3119-3334-3395-3631-3942-3993-4130
lucas_full,25,pcal,5.15,0.07,0.14,4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199||4175-4176-4177-4178-4179-4180-4181-4182-4183-4184-4185-4186-4187-4188-4189-4190-4191-4192-4193-4194-4195-4196-4197-4198-4199
lucas_full,25,lasso,35.65,0.4,0.12,401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1411-1412-1413-1415-1416-1417-1418-3818-3819-3820||401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1411-1412-1413-1415-1416-1417-1418-3818-3819-3820||401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1411-1412-1413-1415-1416-1417-1418-3818-3819-3820||402-403-404-405-406-407-408-409-410-411-412-413-414-1408-1409-1410-1411-1412-1413-1414-1416-1417-1418-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-1410-1411-1412-1413-1414-1415-1417-1418-1419-3818-3819-3820||401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1411-1412-1413-1415-1416-1417-1418-3818-3819-3820||402-403-404-405-406-407-408-409-410-411-412-413-414-1408-1409-1410-1411-1412-1413-1414-1415-1417-1418-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-1408-1409-1410-1411-1412-1413-1415-1416-1417-1418-3818-3819||402-403-404-405-406-407-408-409-410-411-412-413-414-1408-1409-1410-1411-1412-1413-1415-1416-1417-1418-3818-3819||401-402-403-404-405-406-407-408-409-410-411-412-413-414-1409-1411-1412-1413-1415-1416-1417-1418-3818-3819-3820
lucas_full,30,fsdrl,49.33,0.42,0.11,441-1436-1477-1700-1707-1791-1888-1925-1926-1932-2019-2020-2127-2128-2132-2956-3190-3191-3395-3398-3726-3729-3805||439-1283-1399-1802-1889-1924-1925-1926-1993-2020-2140-2962-2963-2964-3185-3398-3400-3720-3735-3736||441-1137-1200-1735-1923-1925-1926-1983-2020-2022-2132-2133-2134-2246-2965-2968-3145-3313-3405-3806||444-1363-1393-1684-1777-1801-1815-1889-1904-1926-2017-2020-2138-2139-2140-2141-2142-2673-2964-3177-3418-3613-3732-3736-3747||529-1476-1691-1869-1890-1929-1937-1958-1984-2008-2012-2013-2015-2133-2134-2251-2964-3191-3417-3615-3733-3738-3745||449-1201-1423-1600-1807-1854-1872-1924-1925-2020-2021-2134-2135-2142-2143-2963-2964-3016-3185-3400-3405-3726-3747||538-1506-1532-1740-1926-1929-1965-2020-2128-2133-2134-2672-2964-3185-3394-3395-3398-3729-3750||471-1340-1450-1898-1923-1925-1926-1929-1983-2019-2020-2127-2128-2298-2954-3199-3395-3726-3732-3736||448-1481-1556-1683-1886-1926-1930-1943-1959-1981-2012-2013-2017-2135-2138-2281-2471-2960-3189-3415-3416-3613-3728-3732-3746||457-1137-1164-1394-1425-1462-1713-1889-1922-1926-1973-2020-2128-2130-2131-2272-2278-2960-2973-2984-3132-3405-3726-3795
