dataset,target_size,algorithm,time,metric1,metric2,selected_features
lucas_skipped,5,bsnet,133.94,0.71,0.07,6-8-12-34-35||6-12-34-35-62||6-12-34-35-63||6-8-13-34-35||6-12-34-35-63
lucas_skipped,5,fsdr,87.41,0.76,0.07,7-17-32-35-55||6-17-32-36-55||7-17-32-36-55||7-17-32-35-55||7-17-32-36-55
lucas_skipped,10,bsnet,151.95,0.73,0.07,6-7-8-12-34-35-42-50-62-63||6-7-8-12-30-34-35-42-62-63||4-6-7-8-12-13-34-35-50-63||6-8-12-13-14-34-35-50-62-63||6-8-12-13-14-34-35-50-62-63
lucas_skipped,10,fsdr,152.88,0.75,0.07,7-22-28-30-32-34-39-47-54-60||7-22-28-30-32-34-39-47-54-60||7-23-28-30-32-34-39-47-54-60||7-23-28-30-32-34-39-47-54-60||7-22-28-30-32-34-39-47-54-60
lucas_skipped,15,bsnet,155.08,0.71,0.08,4-6-7-8-12-13-17-34-35-36-42-50-58-62-63||4-6-7-8-12-13-14-17-30-34-35-42-50-62-63||4-6-7-8-12-13-14-17-30-34-35-42-50-62-63||6-7-8-12-13-14-17-34-35-36-50-54-58-62-63||4-6-7-8-12-13-14-17-34-35-36-42-50-62-63
lucas_skipped,15,fsdr,227.13,0.76,0.07,7-22-28-30-32-34-39-47-54-60||7-22-27-28-29-30-32-34-39-47-54-60||7-22-28-29-30-32-34-39-47-54-60||7-24-29-30-32-34-37-47-54-60||7-22-27-28-30-32-34-39-47-54-60
lucas_skipped,20,bsnet,154.71,0.68,0.08,4-6-7-8-12-13-14-17-27-30-34-35-36-42-46-50-55-58-62-63||4-6-7-8-12-13-14-17-30-33-34-35-36-40-42-50-55-58-62-63||4-6-7-8-12-13-14-17-30-33-34-35-36-40-42-50-56-58-62-63||6-7-8-12-13-14-17-25-27-33-34-35-36-40-42-50-54-58-62-63||4-6-7-8-12-13-14-17-25-27-30-34-35-36-42-50-54-58-62-63
lucas_skipped,20,fsdr,279.32,0.72,0.07,7-17-18-28-30-32-34-39-44-47-54-59-60||7-18-20-28-30-32-34-39-44-47-54-59-60||7-18-19-28-30-32-34-39-44-47-54-59-60||8-21-23-28-29-30-32-34-47-50-54-59-60||8-19-22-28-29-30-32-34-47-50-54-59-60
lucas_skipped,25,bsnet,153.51,0.6,0.09,4-6-7-8-12-13-14-17-25-27-30-33-34-35-36-40-41-42-46-48-50-55-58-62-63||4-6-7-8-12-13-14-17-25-27-30-33-34-35-36-39-40-42-46-47-50-55-58-62-63||4-6-7-8-12-13-14-17-18-25-27-30-33-34-35-36-39-40-42-46-50-56-58-62-63||4-6-7-8-12-13-14-17-18-25-27-30-33-34-35-36-40-42-50-53-54-55-58-62-63||4-6-7-8-12-13-14-17-18-25-27-30-33-34-35-36-40-42-46-50-54-56-58-62-63
lucas_skipped,25,fsdr,339.65,0.75,0.07,7-20-26-28-29-30-32-34-38-47-51-54-59-60||7-20-28-29-30-32-34-47-51-53-54-59-60||7-18-28-30-32-34-47-51-54-59||8-21-26-28-29-30-32-34-47-51-53-54-59-60||7-20-25-28-29-30-32-34-47-51-53-54-59-60
lucas_skipped,30,bsnet,152.13,0.57,0.09,4-6-7-8-12-13-14-17-20-25-26-27-30-33-34-35-36-40-41-42-46-48-50-52-54-55-56-58-62-63||4-6-7-8-12-13-14-17-20-25-27-30-33-34-35-36-39-40-42-45-46-47-48-50-52-54-55-58-62-63||4-6-7-8-12-13-14-17-18-25-27-30-33-34-35-36-38-39-40-41-42-45-46-47-50-55-56-58-62-63||4-6-7-8-12-13-14-17-18-20-25-27-30-33-34-35-36-40-42-46-48-50-52-53-54-55-56-58-62-63||4-6-7-8-12-13-14-17-18-22-25-27-30-33-34-35-36-40-41-42-46-48-50-53-54-55-56-58-62-63
lucas_skipped,30,fsdr,393.8,0.75,0.07,7-16-18-28-29-30-32-34-36-38-47-50-54-60||7-17-18-28-29-30-31-32-34-39-47-50-54-60||7-17-18-28-30-31-32-34-39-47-50-54-60||7-20-23-28-29-30-31-32-34-36-47-48-50-54-60||7-18-28-30-32-34-39-47-50-51-54-60
lucas_full,5,bsnet,163.58,0.66,0.08,1921-2199-3000-3683-3942||2199-3326-3437-3683-3942||52-648-1921-2872-4076||1757-1921-3326-3942-4076||1486-1921-3942-4076-4152
lucas_full,5,fsdr,92.25,0.78,0.06,413-1399-2023-2268-3463||411-1356-2023-2215-3465||410-1399-2023-2203-3461||428-1439-2022-2639-3465||413-1516-2023-2164-3465
lucas_full,10,bsnet,162.48,0.71,0.07,1698-1789-1921-2199-3000-3683-3790-3942-4130-4152||1183-1885-1921-2199-3119-3326-3437-3683-3942-4082||52-435-648-884-1712-1730-1921-2872-3000-4076||1126-1730-1757-1921-1925-2427-2530-3326-3942-4076||52-1486-1921-2199-2486-2628-3519-3942-4076-4152
lucas_full,10,fsdr,153.54,0.8,0.06,434-1137-1399-1922-2020-2134-2976-3435-3802||422-1137-1399-1791-1922-2020-2128-2980-3418-3805||418-1132-1399-1921-1924-2020-2134-2977-3443-3803||468-1137-1399-1922-2020-2131-2979-3444-3804||439-1135-1399-1774-1922-2020-2134-2976-3443-3801
lucas_full,15,bsnet,149.6,0.71,0.08,1646-1698-1789-1921-2199-2486-2787-3000-3326-3683-3790-3942-4082-4130-4152||613-909-1183-1885-1921-2171-2199-2216-2398-3119-3326-3437-3683-3942-4082||52-435-648-884-989-1712-1730-1770-1921-2462-2787-2810-2872-3000-4076||1126-1717-1730-1757-1921-1925-2410-2427-2462-2530-2561-3326-3477-3942-4076||52-1126-1486-1589-1717-1921-2199-2486-2628-2872-3000-3519-3942-4076-4152
lucas_full,15,fsdr,200.84,0.75,0.07,441-1137-1399-1778-1922-1925-2020-2134-2138-2141-2958-3194-3435-3756||442-1137-1399-1919-2020-2138-2141-2444-2964-3191-3435-3799||442-1101-1542-1880-1885-1897-2146-2147-2310-2461-2975-3191-3430-3759||468-1137-1399-1869-1875-1880-1892-2141-2149-2451-2979-3191-3435-3781||450-1058-1399-1880-1893-1900-1912-2147-2150-2338-2464-2973-3194-3433-3756
lucas_full,20,bsnet,129.49,0.65,0.08,1449-1646-1698-1789-1921-2199-2213-2216-2486-2787-3000-3053-3326-3683-3790-3942-3993-4082-4130-4152||613-622-884-909-1183-1730-1885-1921-2171-2199-2213-2216-2398-2486-3119-3326-3437-3683-3942-4082||52-435-582-622-648-884-989-1712-1730-1770-1921-2213-2462-2628-2787-2810-2872-3000-3395-4076||1126-1717-1730-1757-1770-1921-1925-2199-2410-2427-2462-2530-2561-2872-3326-3477-3790-3942-4076-4130||52-778-1126-1486-1589-1717-1730-1921-2199-2486-2628-2787-2872-3000-3119-3519-3942-4018-4076-4152
lucas_full,20,fsdr,238.89,0.71,0.08,440-1061-1383-1650-1791-1836-1901-1925-1928-2020-2141-2147-2972-2976-3435-3738-3747||422-1137-1359-1399-1710-1735-1922-1927-1937-2020-2141-2143-2639-2972-2979-3435-3732-3784||442-1101-1320-1399-1624-1874-1925-1928-2020-2021-2141-2964-3185-3410-3738-3751||469-1137-1399-1709-1753-1885-1901-1925-2020-2134-2138-2504-2507-2964-3187-3405-3735-3802||439-1137-1391-1395-1759-1829-1923-1932-1937-2020-2134-2141-2527-2638-2963-3189-3409-3740-3747
lucas_full,25,bsnet,129.61,0.62,0.09,1449-1589-1646-1698-1789-1921-2199-2213-2216-2486-2787-2810-2860-2872-3000-3053-3326-3683-3790-3942-3993-4082-4114-4130-4152||613-622-884-909-1183-1646-1730-1793-1885-1921-2171-2199-2213-2216-2398-2486-3119-3161-3326-3437-3677-3683-3942-3993-4082||52-260-435-582-622-648-884-989-1712-1730-1770-1921-2213-2462-2628-2703-2787-2810-2872-3000-3395-3477-3677-4076-4082||486-1126-1717-1730-1757-1770-1921-1925-2199-2410-2427-2462-2530-2561-2628-2669-2787-2872-3326-3477-3790-3942-3993-4076-4130||52-778-884-1126-1486-1589-1689-1698-1717-1730-1789-1921-2016-2199-2486-2628-2787-2872-3000-3119-3519-3942-4018-4076-4152
lucas_full,25,fsdr,282.67,0.73,0.07,459-1433-1446-1501-1805-1810-1922-1925-2017-2116-2121-2125-2131-2476-2782-3198-3396-3402-3409-3701-3803||459-1138-1399-1822-1908-1914-1919-2017-2120-2131-2447-2673-3194-3405-3724-3806||524-1137-1399-1451-1808-1852-1922-2017-2117-2121-2126-2443-2464-3199-3398-3405-3725-3806||540-929-1137-1399-1811-1836-1926-1927-2017-2114-2117-2125-2444-2447-3199-3395-3398-3729-3802||543-1138-1363-1399-1794-1810-1923-2017-2113-2122-2445-2464-3194-3398-3400-3416-3731-3791
lucas_full,30,bsnet,130.3,0.56,0.09,111-1449-1492-1589-1646-1698-1789-1793-1921-2199-2213-2216-2410-2486-2787-2810-2860-2872-2888-3000-3053-3326-3683-3790-3942-3993-4082-4114-4130-4152||613-622-884-909-1183-1378-1646-1659-1730-1793-1885-1921-2171-2199-2213-2216-2398-2450-2484-2486-3119-3161-3326-3437-3677-3683-3785-3942-3993-4082||52-260-435-582-622-648-884-989-1083-1378-1424-1712-1730-1757-1770-1921-2213-2462-2628-2703-2787-2810-2872-3000-3283-3395-3477-3677-4076-4082||486-1126-1424-1449-1717-1730-1757-1770-1921-1925-2171-2199-2410-2427-2462-2530-2551-2561-2628-2669-2787-2818-2872-3326-3477-3790-3942-3993-4076-4130||52-542-582-778-884-906-1126-1486-1589-1637-1689-1698-1717-1730-1789-1921-2016-2199-2486-2628-2710-2787-2872-3000-3119-3519-3942-4018-4076-4152
lucas_full,30,fsdr,335.34,0.66,0.08,434-1179-1395-1879-1896-1901-1925-1929-2018-2020-2128-2129-2134-2137-2964-2972-2975-3420-3429-3612-3729-3737-3747||426-1356-1538-1607-1772-1795-1926-2017-2019-2020-2128-2134-2271-2292-2962-2978-2980-3418-3613-3730-3732-3809||427-1398-1425-1876-1885-1926-1932-1973-2017-2020-2132-2133-2137-2291-2966-2976-2978-3418-3421-3612-3731-3733-3805||453-1399-1434-1892-1902-1904-1926-1964-2017-2018-2020-2132-2134-2138-2141-2966-2979-2980-3418-3613-3729-3731-3804||441-1376-1425-1886-1925-1926-1932-1935-2017-2018-2020-2021-2131-2134-2271-2964-2973-2976-3413-3435-3612-3736-3737-3747
lucas_min,5,bsnet,5.42,0.1,0.17,622-1717-1816-3326-4076||435-622-1816-3942-4076||1717-1921-3326-3942-4076||648-1717-1816-2199-4076||622-648-1816-3326-4076
lucas_min,5,fsdr,62.39,0.33,0.1,440-1627-2024-2475-3463||402-1597-2027-2646-3467||414-1395-2025-2650-3460||407-1622-2025-2525-3467||414-1533-2025-2513-3467
lucas_min,10,bsnet,5.39,0.18,0.12,622-648-1659-1717-1757-1816-2872-3326-4076-4130||435-622-1193-1757-1816-1921-3326-3942-4076-4130||435-1377-1717-1816-1921-2872-3326-3942-4076-4130||435-476-622-648-1717-1816-1921-2199-3942-4076||260-435-622-648-1717-1757-1816-2199-3326-4076
lucas_min,10,fsdr,108.81,0.26,0.1,438-1437-1447-1711-1879-2141-2655-2975-3456-3613||422-1130-1223-1542-1903-2292-2655-3013-3449-3756||427-931-1128-1554-1905-2284-2655-3007-3449-3793||416-465-1134-1558-1900-2306-2655-2998-3456-3609||555-557-1141-1570-1905-2212-2652-3014-3454-3793
lucas_min,15,bsnet,5.39,0.19,0.11,260-622-648-1193-1377-1659-1717-1757-1789-1816-2199-2872-3326-4076-4130||260-435-612-622-648-1193-1377-1757-1816-1921-2872-3326-3942-4076-4130||435-622-648-1377-1717-1757-1816-1921-2199-2427-2872-3326-3942-4076-4130||435-476-622-648-854-1126-1377-1717-1816-1921-2199-2872-3326-3942-4076||260-435-622-648-1717-1757-1816-1849-1921-2199-2427-3000-3326-4076-4130
lucas_min,15,fsdr,153.67,0.31,0.09,440-1088-1347-1399-1773-1884-1935-2021-2137-2473-2475-3148-3399-3456-3806||440-1105-1399-1653-1773-1903-1922-2023-2246-2463-2655-3007-3438-3449-3805||427-1108-1392-1724-1799-1911-2021-2023-2257-2466-2655-3013-3415-3456-3801||420-1074-1567-1624-1725-1902-1924-2022-2238-2457-2655-2989-2997-3456-3793||432-618-1116-1399-1773-1902-2023-2260-2457-2638-3017-3445-3463-3793
lucas_min,20,bsnet,5.48,0.21,0.1,260-435-622-648-1193-1251-1263-1377-1659-1717-1757-1789-1816-2199-2872-3326-3519-3587-4076-4130||260-435-612-622-648-762-1193-1251-1377-1717-1757-1816-1921-2872-3326-3399-3437-3942-4076-4130||435-622-648-811-1377-1717-1757-1816-1921-2199-2427-2872-3000-3326-3519-3587-3942-4076-4130-4152||260-435-476-622-648-671-854-1126-1193-1377-1717-1757-1816-1921-2199-2872-3326-3942-4076-4130||260-435-622-648-1126-1193-1576-1717-1757-1816-1849-1921-2199-2220-2427-2872-3000-3326-4076-4130
lucas_min,20,fsdr,198.04,0.25,0.1,450-880-1399-1410-1514-1638-1686-1774-1824-2017-2107-2405-2656-2965-2976-2979-3615-3737-3808||441-1275-1342-1399-1424-1519-1653-1883-1898-2021-2140-2408-2655-2988-3002-3007-3448-3721-3793||450-900-1207-1413-1487-1511-1668-1867-1927-2020-2139-2406-2660-2972-2977-3127-3449-3622-3793||440-1409-1426-1533-1597-1885-1925-2022-2178-2415-2655-2986-2988-3448-3733-3739||557-568-1410-1750-1799-1840-1903-1922-1925-2023-2374-2652-2994-2995-3102-3449-3747-3795
lucas_min,25,bsnet,5.55,0.19,0.11,260-435-622-648-702-1193-1251-1263-1377-1659-1717-1757-1789-1816-1921-2199-2416-2427-2486-2872-3326-3519-3587-4076-4130||260-435-612-622-648-762-1193-1251-1377-1423-1589-1717-1757-1816-1921-2252-2427-2872-3326-3399-3437-3519-3942-4076-4130||435-612-622-648-811-1126-1193-1377-1717-1757-1816-1921-2199-2427-2462-2486-2872-3000-3326-3519-3587-3942-4076-4130-4152||52-260-435-476-612-622-648-671-854-1126-1193-1377-1659-1717-1757-1816-1849-1921-2199-2416-2872-3326-3942-4076-4130||260-435-612-622-648-811-1126-1193-1576-1717-1757-1816-1849-1921-2199-2220-2427-2628-2872-3000-3326-3437-3519-4076-4130
lucas_min,25,fsdr,241.4,0.24,0.1,515-1342-1652-1653-1846-1870-1884-1927-1930-2020-2137-2141-2401-2417-2965-3151-3382-3456-3799-3806||427-1125-1311-1399-1643-1786-1837-1928-1932-1940-1974-2022-2227-2294-2338-2348-2655-2969-3152-3449-3614-3744-3805||491-1325-1399-1435-1601-1779-1930-1940-2022-2025-2139-2142-2255-2414-2619-2968-3152-3449-3456-3609-3739-3793||457-985-1108-1399-1732-1831-1873-1906-1928-1933-2018-2140-2296-2301-2413-2655-2972-3120-3456-3611-3730-3793||661-1388-1800-1816-1928-2022-2023-2135-2148-2418-2594-2988-3102-3391-3400-3462-3732-3793
lucas_min,30,bsnet,5.39,0.17,0.1,260-435-612-622-648-671-702-989-1193-1251-1263-1377-1576-1659-1717-1757-1789-1816-1921-2199-2416-2427-2486-2872-3326-3399-3519-3587-4076-4130||52-260-435-612-622-648-671-762-1193-1251-1377-1423-1576-1589-1717-1757-1816-1921-2252-2427-2486-2872-3097-3326-3399-3437-3519-3942-4076-4130||260-435-612-622-648-762-811-854-1126-1193-1377-1717-1757-1816-1921-2199-2220-2427-2462-2486-2872-3000-3326-3519-3587-3862-3942-4076-4130-4152||52-260-435-476-612-622-648-671-854-1126-1193-1377-1576-1659-1698-1717-1757-1816-1849-1921-2199-2416-2427-2872-2916-3000-3326-3942-4076-4130||260-435-612-622-648-702-762-811-1126-1193-1377-1576-1717-1757-1816-1849-1921-2199-2220-2427-2591-2628-2872-3000-3326-3437-3519-3862-4076-4130
