dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
lucas_skipped,5,0,bsnet,0,5,129.34,0.7,0.07,6-8-12-34-35
lucas_skipped,5,0,fsdr,0,5,87.01,0.76,0.06,7-17-32-35-55
lucas_skipped,5,1,bsnet,0,5,124.33,0.7,0.08,6-12-34-35-62
lucas_skipped,5,1,fsdr,0,5,88.26,0.74,0.07,6-17-32-36-55
lucas_skipped,5,2,bsnet,0,5,122.55,0.71,0.07,6-12-34-35-63
lucas_skipped,5,2,fsdr,0,5,87.45,0.76,0.07,7-17-32-36-55
lucas_skipped,5,3,bsnet,0,5,145.54,0.71,0.08,6-8-13-34-35
lucas_skipped,5,3,fsdr,0,5,87.05,0.77,0.07,7-17-32-35-55
lucas_skipped,5,4,bsnet,0,5,147.93,0.75,0.07,6-12-34-35-63
lucas_skipped,5,4,fsdr,0,5,87.26,0.79,0.07,7-17-32-36-55
lucas_skipped,10,0,bsnet,0,10,145.43,0.72,0.07,6-7-8-12-34-35-42-50-62-63
lucas_skipped,10,0,fsdr,0,10,153.39,0.76,0.06,7-22-28-30-32-34-39-47-54-60
lucas_skipped,10,1,bsnet,0,10,155.18,0.7,0.08,6-7-8-12-30-34-35-42-62-63
lucas_skipped,10,1,fsdr,0,10,151.57,0.76,0.07,7-22-28-30-32-34-39-47-54-60
lucas_skipped,10,2,bsnet,0,10,152.34,0.71,0.07,4-6-7-8-12-13-34-35-50-63
lucas_skipped,10,2,fsdr,0,10,152.13,0.76,0.07,7-23-28-30-32-34-39-47-54-60
lucas_skipped,10,3,bsnet,0,10,151.81,0.73,0.08,6-8-12-13-14-34-35-50-62-63
lucas_skipped,10,3,fsdr,0,10,153.82,0.75,0.08,7-23-28-30-32-34-39-47-54-60
lucas_skipped,10,4,bsnet,0,10,155.0,0.77,0.07,6-8-12-13-14-34-35-50-62-63
lucas_skipped,10,4,fsdr,0,10,153.47,0.74,0.07,7-22-28-30-32-34-39-47-54-60
lucas_skipped,15,0,bsnet,0,15,153.33,0.75,0.07,4-6-7-8-12-13-17-34-35-36-42-50-58-62-63
lucas_skipped,15,0,fsdr,0,10,233.39,0.76,0.06,7-22-28-30-32-34-39-47-54-60
lucas_skipped,15,1,bsnet,0,15,157.86,0.68,0.08,4-6-7-8-12-13-14-17-30-34-35-42-50-62-63
lucas_skipped,15,1,fsdr,0,12,224.14,0.76,0.07,7-22-27-28-29-30-32-34-39-47-54-60
lucas_skipped,15,2,bsnet,0,15,148.69,0.67,0.08,4-6-7-8-12-13-14-17-30-34-35-42-50-62-63
lucas_skipped,15,2,fsdr,0,11,224.3,0.76,0.07,7-22-28-29-30-32-34-39-47-54-60
lucas_skipped,15,3,bsnet,0,15,156.16,0.68,0.08,6-7-8-12-13-14-17-34-35-36-50-54-58-62-63
lucas_skipped,15,3,fsdr,0,10,226.79,0.79,0.07,7-24-29-30-32-34-37-47-54-60
lucas_skipped,15,4,bsnet,0,15,159.36,0.77,0.07,4-6-7-8-12-13-14-17-34-35-36-42-50-62-63
lucas_skipped,15,4,fsdr,0,11,227.04,0.75,0.07,7-22-27-28-30-32-34-39-47-54-60
lucas_skipped,20,0,bsnet,0,20,157.77,0.67,0.08,4-6-7-8-12-13-14-17-27-30-34-35-36-42-46-50-55-58-62-63
lucas_skipped,20,0,fsdr,0,13,278.43,0.68,0.07,7-17-18-28-30-32-34-39-44-47-54-59-60
lucas_skipped,20,1,bsnet,0,20,154.0,0.65,0.08,4-6-7-8-12-13-14-17-30-33-34-35-36-40-42-50-55-58-62-63
lucas_skipped,20,1,fsdr,0,13,278.77,0.74,0.07,7-18-20-28-30-32-34-39-44-47-54-59-60
lucas_skipped,20,2,bsnet,0,20,153.36,0.67,0.08,4-6-7-8-12-13-14-17-30-33-34-35-36-40-42-50-56-58-62-63
lucas_skipped,20,2,fsdr,0,13,278.91,0.73,0.07,7-18-19-28-30-32-34-39-44-47-54-59-60
lucas_skipped,20,3,bsnet,0,20,154.27,0.7,0.08,6-7-8-12-13-14-17-25-27-33-34-35-36-40-42-50-54-58-62-63
lucas_skipped,20,3,fsdr,0,13,280.56,0.71,0.08,8-21-23-28-29-30-32-34-47-50-54-59-60
lucas_skipped,20,4,bsnet,0,20,154.16,0.71,0.08,4-6-7-8-12-13-14-17-25-27-30-34-35-36-42-50-54-58-62-63
lucas_skipped,20,4,fsdr,0,13,279.92,0.75,0.07,8-19-22-28-29-30-32-34-47-50-54-59-60
lucas_skipped,25,0,bsnet,0,25,154.5,0.63,0.08,4-6-7-8-12-13-14-17-25-27-30-33-34-35-36-40-41-42-46-48-50-55-58-62-63
lucas_skipped,25,0,fsdr,0,14,344.21,0.74,0.07,7-20-26-28-29-30-32-34-38-47-51-54-59-60
lucas_skipped,25,1,bsnet,0,25,154.05,0.5,0.1,4-6-7-8-12-13-14-17-25-27-30-33-34-35-36-39-40-42-46-47-50-55-58-62-63
lucas_skipped,25,1,fsdr,0,13,343.08,0.75,0.07,7-20-28-29-30-32-34-47-51-53-54-59-60
lucas_skipped,25,2,bsnet,0,25,154.67,0.62,0.08,4-6-7-8-12-13-14-17-18-25-27-30-33-34-35-36-39-40-42-46-50-56-58-62-63
lucas_skipped,25,2,fsdr,0,10,343.59,0.78,0.06,7-18-28-30-32-34-47-51-54-59
lucas_skipped,25,3,bsnet,0,25,153.12,0.56,0.1,4-6-7-8-12-13-14-17-18-25-27-30-33-34-35-36-40-42-50-53-54-55-58-62-63
lucas_skipped,25,3,fsdr,0,14,337.04,0.75,0.08,8-21-26-28-29-30-32-34-47-51-53-54-59-60
lucas_skipped,25,4,bsnet,0,25,151.2,0.67,0.08,4-6-7-8-12-13-14-17-18-25-27-30-33-34-35-36-40-42-46-50-54-56-58-62-63
lucas_skipped,25,4,fsdr,0,14,330.31,0.72,0.08,7-20-25-28-29-30-32-34-47-51-53-54-59-60
