epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.23623659800024094,0.2676056338028169,0.0,0.0,0.02,13,25,37,50,62,74,87,99,111,124,136,149,161,173,186
1,0.23623659800024094,0.2676056338028169,0.0,0.0,0.03,13,25,37,50,62,74,87,99,111,124,136,148,161,173,186
2,0.23623659800024094,0.2676056338028169,0.0,0.0,0.03,13,25,37,50,62,74,87,99,111,124,136,148,161,173,186
3,0.23623659800024094,0.2676056338028169,0.0,0.0,0.04,13,25,37,50,62,74,87,99,111,124,136,148,161,173,186
4,0.23623659800024094,0.2676056338028169,0.0,0.0,0.06,13,25,37,50,62,74,86,99,111,124,136,148,161,173,186
5,0.23623659800024094,0.2676056338028169,0.0,0.0,0.07,13,25,37,50,62,74,86,99,111,124,136,148,161,173,186
6,0.23623659800024094,0.2676056338028169,0.0,0.0,0.07,13,25,37,50,62,74,86,99,111,124,136,148,161,173,186
7,0.23623659800024094,0.2676056338028169,0.0,0.0,0.08,13,25,37,50,62,74,86,99,111,124,137,148,161,173,186
8,0.23623659800024094,0.2676056338028169,0.0,0.0,0.09,13,25,37,50,62,74,86,99,111,124,137,148,161,173,186
9,0.23623659800024094,0.2676056338028169,0.0,0.0,0.1,13,25,37,50,62,74,86,99,111,124,137,148,161,173,186
10,0.23623659800024094,0.2676056338028169,0.0,0.0,0.11,13,25,37,50,62,74,86,99,111,124,137,148,161,174,185
11,0.23623659800024094,0.2676056338028169,0.0,0.0,0.12,13,25,37,50,62,74,86,98,111,124,137,148,161,174,185
12,0.23623659800024094,0.2676056338028169,0.0,0.0,0.13,13,25,37,50,62,74,86,98,111,124,137,148,161,174,185
13,0.23623659800024094,0.2676056338028169,0.0,0.0,0.14,13,25,37,50,63,74,86,98,111,124,137,148,161,174,185
14,0.23623659800024094,0.2676056338028169,0.0,0.0,0.15,13,25,37,50,63,74,86,98,111,125,137,148,161,174,185
